unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
480985,50.0,3.0,7,6.0,4.0,4.0,0.0,0.0,0,0,0,0,5.28,75.0,4930.0,0.0,12088.0,50.0,3217.0,75.0,8583,43500.0,49618.0,1,0
481225,25.0,4.0,3,3.0,3.0,3.0,0.0,33.0,1,0,0,0,0.0,60.0,6262.0,80.0,1595.0,0.0,7519.5,80.0,10500,21415.0,21415.0,0,1
481410,84.0,17.0,63,33.0,19.0,19.0,0.0,0.0,0,0,0,0,0.0,21.0,5033.0,63.0,5718.0,0.0,7519.5,68.0,9600,17086.0,17086.0,1,0
481438,75.0,10.0,27,23.0,22.0,22.0,0.0,0.0,0,0,0,0,0.0,60.0,6287.0,70.0,5358.0,0.0,7519.5,100.0,12500,19636.0,19636.0,1,0
482149,76.0,16.0,6011,5194.0,1303.0,1273.0,20.0,4.0,0,1,0,0,0.0,41.0,5718.0,15.0,8136.0,35.0,5888.0,93.0,8414,26942.0,43262.0,0,0
482158,65.0,18.0,4346,4332.0,1319.0,1138.0,18.0,7.0,0,1,0,1,3.2,53.0,6151.0,13.0,4046.0,42.0,5617.0,90.0,5038,20733.0,32085.0,0,0
482228,100.0,7.0,20,19.0,13.0,7.0,0.0,0.0,1,0,0,0,0.0,56.0,2793.0,56.0,377.0,22.0,2750.0,89.0,10522,43500.0,49618.0,0,1
482680,73.0,19.0,13298,9035.0,4331.0,4024.0,38.0,17.0,0,1,0,1,7.45,32.0,5590.0,19.0,2486.0,22.0,6236.0,91.0,5285,23315.0,34533.0,0,0
482936,75.0,17.0,4110,2364.0,477.0,449.0,71.0,28.0,0,1,0,0,11.53,34.0,5312.0,95.0,4033.0,31.0,5219.0,100.0,4940,24217.0,40282.0,0,0
483018,72.0,6.0,138,123.0,17.0,17.0,6.0,6.0,0,0,0,0,35.43,55.0,5620.0,100.0,28445.0,71.0,4162.0,100.0,37143,50383.0,50383.0,1,0
484473,95.0,61.0,1386,849.0,761.0,696.0,74.0,45.0,0,1,0,0,5.62,19.0,5688.0,20.0,2820.0,7.0,6205.0,87.0,3876,43500.0,49618.0,0,0
